,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
SEC,NONE,NONE,NONE,NONE,NONE,NONE,SEC,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
SEV,NONE,NONE,NONE,NONE,NONE,NONE,SEV,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
SEZ,NONE,NONE,NONE,NONE,NONE,NONE,SEZ,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
SES,NONE,NONE,NONE,NONE,NONE,NONE,SES,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
SCC,NONE,NONE,NONE,NONE,NONE,NONE,SCC,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
NOP,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
RET,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,READ,NONE,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_PC,NONE,SP_PLUS_2,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
HALT,NONE,NONE,NONE,NONE,NONE,NONE,HALT,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
WAIT,NONE,NONE,NONE,NONE,NONE,NONE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,WAIT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
PUSHPC,PD_PC_SBUS,NONE,SBUS,PD_ALU,PM_MDR,NONE,SP_MINUS_2,NONE,NONE,0,NONE
,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,WRITE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
POPPC,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,READ,NONE,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_PC,NONE,SP_PLUS_2,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
PUSHF,PD_FLAG,NONE,SBUS,PD_ALU,PM_MDR,NONE,SP_MINUS_2,NONE,NONE,0,NONE
,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,WRITE,NONE,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
POPF,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,READ,NONE,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_FLAG,NONE,SP_PLUS_2,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,NONE
RETI,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,READ,NONE,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_PC,NONE,SP_PLUS_2,NONE,NONE,0,NONE
,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,READ,NONE,NONE,NONE,0,NONE
,PD_MDR_SBUS,NONE,SBUS,PD_ALU,PM_FLAG,NONE,SP_PLUS_2,IF_INT,NONE,0,INT
,NONE,NONE,NONE,NONE,NONE,NONE,NONE,JUMP,NONE,0,IFCH
INT,PD_FLAG,NONE,SBUS,PD_ALU,PM_MDR,NONE,SP_MINUS_2_AND_INTA,NONE,NONE,0,NONE
,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,WRITE,NONE,NONE,NONE,0,NONE
,PD_PC_SBUS,NONE,SBUS,PD_ALU,PM_MDR,NONE,SP_MINUS_2,NONE,NONE,0,NONE
,PD_SP,NONE,SBUS,PD_ALU,PM_ADR,WRITE,NONE,NONE,NONE,0,NONE
,PD_IVR,NONE,SBUS,PD_ALU,PM_PC,NONE,A_0_BI_AND_A_0_BE,JUMP,NONE,0,IFCH
PWFAIL,NONE,NONE,NONE,NONE,NONE,NONE,A_1_BE0,JUMP,NONE,0,INT
